timestamp,BWB_2_HeatMeter_ReturnTemperature_C,BWB_2_HeatMeter_Power_Watt,BWB_2_HeatMeter_VolumeFlow_m3_per_hour,BWB_2_HeatMeter_FlowTemperature_Ce,BWB_2_HeatMeter_TemperatureDifference_K
16-Apr-19 10:45:00 AM CEST,53.00,256700.00,5.27,95.00,42.40
16-Apr-19 11:00:00 AM CEST,53.00,229000.00,4.91,93.00,40.60
16-Apr-19 11:15:00 AM CEST,51.00,233900.00,4.86,93.00,41.80
16-Apr-19 11:30:00 AM CEST,52.00,218000.00,4.55,94.00,41.80
16-Apr-19 11:45:00 AM CEST,51.00,230300.00,4.79,93.00,41.90
16-Apr-19 12:00:00 PM CEST,52.00,232600.00,4.85,94.00,41.70
16-Apr-19 12:15:00 PM CEST,51.00,205600.00,4.20,94.00,42.60
16-Apr-19 12:30:00 PM CEST,52.00,216500.00,4.42,95.00,42.60
16-Apr-19 12:45:00 PM CEST,52.00,214100.00,4.36,95.00,42.70
16-Apr-19 1:00:00 PM CEST,53.00,173700.00,3.63,94.00,41.60
16-Apr-19 1:15:00 PM CEST,56.00,263400.00,5.95,95.00,38.60
16-Apr-19 1:30:00 PM CEST,56.00,89100.00,2.06,93.00,37.80
16-Apr-19 1:45:00 PM CEST,59.00,113500.00,2.87,93.00,34.60
16-Apr-19 2:00:00 PM CEST,56.00,320700.00,7.48,94.00,37.40
16-Apr-19 2:15:00 PM CEST,56.00,361200.00,8.38,94.00,37.60
16-Apr-19 2:30:00 PM CEST,56.00,303500.00,7.10,94.00,37.30
16-Apr-19 2:45:00 PM CEST,56.00,242700.00,5.62,94.00,37.70
16-Apr-19 3:00:00 PM CEST,54.00,144200.00,3.09,95.00,40.70
16-Apr-19 3:15:00 PM CEST,55.00,200500.00,4.62,93.00,37.90
16-Apr-19 3:30:00 PM CEST,57.00,72400.00,1.74,94.00,36.20
16-Apr-19 3:45:00 PM CEST,54.00,96000.00,2.13,93.00,39.30
16-Apr-19 4:00:00 PM CEST,61.00,3800.00,0.10,93.00,32.10
16-Apr-19 4:15:00 PM CEST,61.00,4100.00,0.12,92.00,31.00
16-Apr-19 4:30:00 PM CEST,62.00,101800.00,2.90,92.00,30.70
16-Apr-19 4:45:00 PM CEST,62.00,4100.00,0.12,92.00,30.40
16-Apr-19 5:00:00 PM CEST,62.00,4100.00,0.12,92.00,30.40
16-Apr-19 5:15:00 PM CEST,56.00,123500.00,2.94,92.00,36.70
16-Apr-19 5:30:00 PM CEST,61.00,3500.00,0.10,92.00,31.20
16-Apr-19 5:45:00 PM CEST,63.00,3800.00,0.11,93.00,30.10
16-Apr-19 6:00:00 PM CEST,62.00,101100.00,2.85,93.00,31.00
16-Apr-19 6:15:00 PM CEST,63.00,53900.00,1.57,93.00,30.00
16-Apr-19 6:30:00 PM CEST,64.00,3100.00,0.09,93.00,29.50
16-Apr-19 6:45:00 PM CEST,61.00,143400.00,3.93,93.00,31.90
16-Apr-19 7:00:00 PM CEST,64.00,3800.00,0.11,94.00,29.80
16-Apr-19 7:15:00 PM CEST,64.00,30600.00,0.90,94.00,29.80
16-Apr-19 7:30:00 PM CEST,62.00,4200.00,0.11,94.00,32.20
16-Apr-19 7:45:00 PM CEST,62.00,80700.00,2.23,94.00,31.70
16-Apr-19 8:00:00 PM CEST,62.00,3500.00,0.10,94.00,31.60
16-Apr-19 8:15:00 PM CEST,64.00,3500.00,0.10,94.00,29.90
16-Apr-19 8:30:00 PM CEST,64.00,3700.00,0.10,95.00,31.00
16-Apr-19 8:45:00 PM CEST,64.00,3900.00,0.11,95.00,31.80
16-Apr-19 9:00:00 PM CEST,55.00,4400.00,0.09,96.00,40.70
16-Apr-19 9:15:00 PM CEST,58.00,158500.00,3.70,95.00,37.40
16-Apr-19 9:30:00 PM CEST,57.00,230300.00,5.21,96.00,38.60
16-Apr-19 9:45:00 PM CEST,64.00,150200.00,4.19,95.00,31.40
16-Apr-19 10:00:00 PM CEST,60.00,12200.00,0.30,95.00,35.00
16-Apr-19 10:15:00 PM CEST,64.00,106000.00,3.07,95.00,30.20
16-Apr-19 10:30:00 PM CEST,64.00,106000.00,3.07,95.00,30.20
16-Apr-19 10:45:00 PM CEST,63.00,84600.00,2.37,94.00,31.20
16-Apr-19 11:00:00 PM CEST,70.00,122300.00,4.59,94.00,23.40
16-Apr-19 11:15:00 PM CEST,75.00,80800.00,3.94,93.00,18.10
16-Apr-19 11:30:00 PM CEST,56.00,214200.00,4.95,94.00,37.70
16-Apr-19 11:45:00 PM CEST,46.00,414300.00,7.54,94.00,47.70
17-Apr-19 12:00:00 AM CEST,46.00,257500.00,4.69,94.00,47.70
17-Apr-19 12:15:00 AM CEST,47.00,243500.00,4.51,94.00,46.90
17-Apr-19 12:30:00 AM CEST,48.00,202200.00,3.91,93.00,44.90
17-Apr-19 12:45:00 AM CEST,49.00,197300.00,3.88,93.00,44.20
17-Apr-19 1:00:00 AM CEST,52.00,226900.00,4.87,93.00,40.60
17-Apr-19 1:15:00 AM CEST,52.00,293600.00,6.23,93.00,41.00
17-Apr-19 1:30:00 AM CEST,52.00,287200.00,6.11,93.00,40.90
17-Apr-19 1:45:00 AM CEST,51.00,134700.00,2.77,93.00,42.30
17-Apr-19 2:00:00 AM CEST,50.00,163000.00,3.27,93.00,43.30
17-Apr-19 2:15:00 AM CEST,48.00,264100.00,5.08,93.00,45.20
17-Apr-19 2:30:00 AM CEST,51.00,132000.00,2.64,94.00,43.60
17-Apr-19 2:45:00 AM CEST,51.00,292900.00,5.78,95.00,44.10
17-Apr-19 3:00:00 AM CEST,50.00,145000.00,2.81,95.00,44.90
17-Apr-19 3:15:00 AM CEST,50.00,315100.00,6.10,95.00,44.90
17-Apr-19 3:30:00 AM CEST,50.00,237500.00,4.55,95.00,45.30
17-Apr-19 3:45:00 AM CEST,50.00,237500.00,4.55,95.00,45.30
17-Apr-19 4:00:00 AM CEST,50.00,129400.00,2.50,95.00,45.00
17-Apr-19 4:15:00 AM CEST,50.00,175600.00,3.39,95.00,45.00
17-Apr-19 4:30:00 AM CEST,51.00,291700.00,5.67,95.00,44.70
17-Apr-19 4:45:00 AM CEST,50.00,202800.00,3.90,95.00,45.20
17-Apr-19 5:00:00 AM CEST,50.00,211800.00,4.06,95.00,45.30
17-Apr-19 5:15:00 AM CEST,49.00,222400.00,4.18,95.00,46.30
17-Apr-19 5:30:00 AM CEST,49.00,287000.00,5.45,95.00,45.80
17-Apr-19 5:45:00 AM CEST,49.00,270800.00,5.26,94.00,44.80
17-Apr-19 6:00:00 AM CEST,50.00,316300.00,6.36,94.00,43.30
17-Apr-19 6:15:00 AM CEST,51.00,308800.00,5.85,97.00,45.90
17-Apr-19 6:30:00 AM CEST,51.00,277600.00,5.31,97.00,45.50
17-Apr-19 6:45:00 AM CEST,52.00,286300.00,5.57,96.00,44.70
17-Apr-19 7:00:00 AM CEST,53.00,338100.00,6.94,95.00,42.40
17-Apr-19 7:15:00 AM CEST,53.00,280900.00,5.83,95.00,42.00
17-Apr-19 7:30:00 AM CEST,52.00,303100.00,5.92,96.00,44.60
17-Apr-19 7:45:00 AM CEST,52.00,300000.00,6.14,94.00,42.50
17-Apr-19 8:00:00 AM CEST,52.00,302900.00,6.12,95.00,43.10
17-Apr-19 8:15:00 AM CEST,52.00,287600.00,5.75,96.00,43.50
17-Apr-19 8:30:00 AM CEST,52.00,269100.00,5.42,95.00,43.20
17-Apr-19 8:45:00 AM CEST,52.00,282600.00,5.70,95.00,43.10
17-Apr-19 9:00:00 AM CEST,51.00,361100.00,7.00,96.00,44.90
17-Apr-19 9:15:00 AM CEST,51.00,361100.00,7.00,96.00,44.90
17-Apr-19 9:30:00 AM CEST,53.00,248400.00,4.78,98.00,45.20
17-Apr-19 9:45:00 AM CEST,51.00,258000.00,4.98,97.00,45.10
17-Apr-19 10:00:00 AM CEST,52.00,279800.00,5.64,95.00,43.20
17-Apr-19 10:15:00 AM CEST,52.00,233100.00,4.72,95.00,43.00
17-Apr-19 10:30:00 AM CEST,52.00,253800.00,5.16,95.00,42.80
17-Apr-19 10:45:00 AM CEST,53.00,211700.00,4.46,94.00,41.30
17-Apr-19 11:00:00 AM CEST,52.00,245500.00,5.14,94.00,41.60
17-Apr-19 11:15:00 AM CEST,53.00,200700.00,4.28,94.00,40.90
17-Apr-19 11:30:00 AM CEST,52.00,219800.00,4.55,94.00,42.10
17-Apr-19 11:45:00 AM CEST,53.00,214800.00,4.54,94.00,41.20
17-Apr-19 12:00:00 PM CEST,53.00,189800.00,4.02,94.00,41.10
17-Apr-19 12:15:00 PM CEST,56.00,256500.00,5.85,95.00,38.20
17-Apr-19 12:30:00 PM CEST,54.00,208200.00,4.46,95.00,40.70
17-Apr-19 12:45:00 PM CEST,59.00,176600.00,4.25,95.00,36.30
17-Apr-19 1:00:00 PM CEST,57.00,80700.00,1.98,93.00,35.60
17-Apr-19 1:15:00 PM CEST,55.00,320700.00,7.13,94.00,39.20
17-Apr-19 1:30:00 PM CEST,56.00,12300.00,0.28,96.00,39.00
17-Apr-19 1:45:00 PM CEST,56.00,43400.00,0.96,96.00,39.50
17-Apr-19 2:00:00 PM CEST,54.00,124200.00,2.68,94.00,40.30
17-Apr-19 2:15:00 PM CEST,54.00,4800.00,0.11,93.00,38.20
17-Apr-19 2:30:00 PM CEST,58.00,4300.00,0.11,93.00,34.20
17-Apr-19 2:45:00 PM CEST,58.00,4300.00,0.11,93.00,34.20
17-Apr-19 3:00:00 PM CEST,61.00,3700.00,0.10,93.00,32.10
17-Apr-19 3:15:00 PM CEST,59.00,160600.00,4.30,92.00,32.60
17-Apr-19 3:30:00 PM CEST,64.00,3300.00,0.10,93.00,29.30
17-Apr-19 3:45:00 PM CEST,64.00,3500.00,0.11,93.00,28.60
17-Apr-19 4:00:00 PM CEST,58.00,95000.00,2.34,93.00,35.40
17-Apr-19 4:15:00 PM CEST,63.00,3900.00,0.11,94.00,30.90
17-Apr-19 4:30:00 PM CEST,63.00,4200.00,0.11,95.00,32.00
17-Apr-19 4:45:00 PM CEST,63.00,4300.00,0.12,95.00,32.50
17-Apr-19 5:00:00 PM CEST,62.00,3500.00,0.09,95.00,33.20
17-Apr-19 5:15:00 PM CEST,63.00,3500.00,0.10,95.00,32.00
17-Apr-19 5:30:00 PM CEST,63.00,4300.00,0.12,94.00,31.10
17-Apr-19 5:45:00 PM CEST,63.00,3400.00,0.10,94.00,30.40
17-Apr-19 6:00:00 PM CEST,63.00,3400.00,0.10,94.00,30.90
17-Apr-19 6:15:00 PM CEST,63.00,8800.00,0.25,94.00,30.90
17-Apr-19 6:30:00 PM CEST,63.00,3800.00,0.11,93.00,29.70
17-Apr-19 6:45:00 PM CEST,64.00,89900.00,2.63,93.00,29.90
17-Apr-19 7:00:00 PM CEST,63.00,8400.00,0.24,94.00,30.50
17-Apr-19 7:15:00 PM CEST,64.00,3200.00,0.09,94.00,30.40
17-Apr-19 7:30:00 PM CEST,64.00,3600.00,0.11,92.00,28.90
17-Apr-19 7:45:00 PM CEST,58.00,82200.00,2.08,92.00,34.60
17-Apr-19 8:00:00 PM CEST,64.00,3200.00,0.10,93.00,28.80
17-Apr-19 8:15:00 PM CEST,64.00,3200.00,0.10,93.00,28.80
17-Apr-19 8:30:00 PM CEST,64.00,85700.00,2.53,93.00,29.70
17-Apr-19 8:45:00 PM CEST,64.00,3200.00,0.09,94.00,29.80
17-Apr-19 9:00:00 PM CEST,64.00,3300.00,0.10,93.00,29.30
17-Apr-19 9:15:00 PM CEST,64.00,17400.00,0.52,93.00,29.40
17-Apr-19 9:30:00 PM CEST,63.00,3600.00,0.10,94.00,30.40
17-Apr-19 9:45:00 PM CEST,64.00,3400.00,0.10,94.00,30.10
17-Apr-19 10:00:00 PM CEST,60.00,4100.00,0.11,94.00,34.30
17-Apr-19 10:15:00 PM CEST,56.00,5600.00,0.13,94.00,37.30
17-Apr-19 10:30:00 PM CEST,59.00,184800.00,4.73,93.00,34.10
17-Apr-19 10:45:00 PM CEST,48.00,127000.00,2.43,93.00,45.40
17-Apr-19 11:00:00 PM CEST,52.00,85600.00,1.74,95.00,42.90
17-Apr-19 11:15:00 PM CEST,58.00,195000.00,4.87,93.00,34.90
17-Apr-19 11:30:00 PM CEST,62.00,83600.00,2.49,92.00,29.40
17-Apr-19 11:45:00 PM CEST,60.00,3700.00,0.10,92.00,31.90
18-Apr-19 12:00:00 AM CEST,53.00,233700.00,5.34,91.00,38.10
18-Apr-19 12:15:00 AM CEST,68.00,63500.00,2.50,91.00,22.30
18-Apr-19 12:30:00 AM CEST,67.00,48500.00,1.89,90.00,22.50
18-Apr-19 12:45:00 AM CEST,67.00,66800.00,2.70,89.00,21.60
18-Apr-19 1:00:00 AM CEST,69.00,62800.00,2.86,89.00,19.30
18-Apr-19 1:15:00 AM CEST,73.00,43700.00,2.45,89.00,15.70
18-Apr-19 1:30:00 AM CEST,73.00,43700.00,2.45,89.00,15.70
18-Apr-19 1:45:00 AM CEST,54.00,186500.00,4.65,88.00,34.90
18-Apr-19 2:00:00 AM CEST,43.00,333200.00,6.34,89.00,45.60
18-Apr-19 2:15:00 AM CEST,45.00,254700.00,5.08,89.00,43.50
18-Apr-19 2:30:00 AM CEST,47.00,218800.00,4.62,89.00,41.20
18-Apr-19 2:45:00 AM CEST,51.00,210700.00,4.83,89.00,38.00
18-Apr-19 3:00:00 AM CEST,50.00,187300.00,4.14,89.00,39.40
18-Apr-19 3:15:00 AM CEST,50.00,121100.00,2.69,89.00,39.20
18-Apr-19 3:30:00 AM CEST,49.00,117400.00,2.51,90.00,40.70
18-Apr-19 3:45:00 AM CEST,50.00,131600.00,2.85,90.00,40.20
18-Apr-19 4:00:00 AM CEST,51.00,271300.00,5.89,91.00,40.00
18-Apr-19 4:15:00 AM CEST,50.00,276700.00,5.89,91.00,40.90
18-Apr-19 4:30:00 AM CEST,51.00,239100.00,5.10,91.00,40.80
18-Apr-19 4:45:00 AM CEST,50.00,254900.00,5.31,91.00,41.80
18-Apr-19 5:00:00 AM CEST,54.00,327100.00,7.61,92.00,37.40
18-Apr-19 5:15:00 AM CEST,52.00,306800.00,6.71,92.00,39.80
18-Apr-19 5:30:00 AM CEST,52.00,143200.00,3.10,92.00,40.20
18-Apr-19 5:45:00 AM CEST,50.00,270600.00,5.53,92.00,42.50
18-Apr-19 6:00:00 AM CEST,50.00,276500.00,5.58,93.00,43.10
18-Apr-19 6:15:00 AM CEST,51.00,261700.00,5.34,93.00,42.60
18-Apr-19 6:30:00 AM CEST,51.00,266200.00,5.50,93.00,42.10
18-Apr-19 6:45:00 AM CEST,52.00,259500.00,5.53,93.00,40.80
18-Apr-19 7:00:00 AM CEST,52.00,259500.00,5.53,93.00,40.80
18-Apr-19 7:15:00 AM CEST,52.00,250700.00,5.42,92.00,40.30
18-Apr-19 7:30:00 AM CEST,53.00,326300.00,7.25,92.00,39.20
18-Apr-19 7:45:00 AM CEST,53.00,228400.00,4.97,93.00,40.00
18-Apr-19 8:00:00 AM CEST,53.00,215300.00,4.85,92.00,38.60
18-Apr-19 8:15:00 AM CEST,52.00,227200.00,5.09,91.00,38.90
18-Apr-19 8:30:00 AM CEST,52.00,220900.00,5.01,90.00,38.40
18-Apr-19 8:45:00 AM CEST,52.00,249400.00,5.69,90.00,38.20
18-Apr-19 9:00:00 AM CEST,52.00,220100.00,4.93,91.00,38.90
18-Apr-19 9:15:00 AM CEST,53.00,236100.00,5.49,90.00,37.40
18-Apr-19 9:30:00 AM CEST,53.00,239100.00,5.41,91.00,38.50
18-Apr-19 9:45:00 AM CEST,54.00,192400.00,4.41,92.00,38.00
18-Apr-19 10:00:00 AM CEST,53.00,168200.00,3.74,92.00,39.20
18-Apr-19 10:15:00 AM CEST,52.00,181000.00,3.91,92.00,40.30
18-Apr-19 10:30:00 AM CEST,52.00,183700.00,3.90,93.00,41.00
18-Apr-19 10:45:00 AM CEST,59.00,168800.00,4.24,94.00,34.80
18-Apr-19 11:00:00 AM CEST,58.00,221200.00,5.27,95.00,36.70
18-Apr-19 11:15:00 AM CEST,54.00,127800.00,2.71,95.00,41.00
18-Apr-19 11:30:00 AM CEST,55.00,132900.00,2.82,96.00,41.00
18-Apr-19 11:45:00 AM CEST,60.00,4800.00,0.12,96.00,35.80
18-Apr-19 12:00:00 PM CEST,54.00,154600.00,3.16,96.00,42.60
18-Apr-19 12:15:00 PM CEST,62.00,9200.00,0.23,97.00,34.30
18-Apr-19 12:30:00 PM CEST,62.00,9200.00,0.23,97.00,34.30
18-Apr-19 12:45:00 PM CEST,64.00,80000.00,2.11,97.00,33.10
18-Apr-19 1:00:00 PM CEST,63.00,3600.00,0.09,97.00,33.90
18-Apr-19 1:15:00 PM CEST,64.00,3800.00,0.11,96.00,31.60
18-Apr-19 1:30:00 PM CEST,63.00,3400.00,0.09,95.00,31.70
18-Apr-19 1:45:00 PM CEST,63.00,3700.00,0.10,95.00,31.80
18-Apr-19 2:00:00 PM CEST,63.00,4000.00,0.11,95.00,31.50
18-Apr-19 2:15:00 PM CEST,59.00,116400.00,2.76,95.00,36.80
18-Apr-19 2:30:00 PM CEST,63.00,4500.00,0.12,97.00,33.80
18-Apr-19 2:45:00 PM CEST,63.00,4000.00,0.10,96.00,33.50
18-Apr-19 3:00:00 PM CEST,63.00,49400.00,1.33,95.00,32.50
18-Apr-19 3:15:00 PM CEST,62.00,74200.00,1.98,95.00,32.80
18-Apr-19 3:30:00 PM CEST,63.00,78100.00,2.07,96.00,32.90
18-Apr-19 3:45:00 PM CEST,63.00,3900.00,0.10,96.00,33.60
18-Apr-19 4:00:00 PM CEST,63.00,3900.00,0.10,97.00,34.00
18-Apr-19 4:15:00 PM CEST,62.00,90800.00,2.26,97.00,35.10
18-Apr-19 4:30:00 PM CEST,63.00,4100.00,0.11,97.00,33.80
18-Apr-19 4:45:00 PM CEST,63.00,3900.00,0.10,96.00,32.90
18-Apr-19 5:00:00 PM CEST,64.00,3700.00,0.10,95.00,31.70
18-Apr-19 5:15:00 PM CEST,64.00,80700.00,2.29,94.00,30.80
18-Apr-19 5:30:00 PM CEST,64.00,81800.00,2.41,94.00,29.80
18-Apr-19 5:45:00 PM CEST,64.00,3400.00,0.10,93.00,29.80
18-Apr-19 6:00:00 PM CEST,64.00,3400.00,0.10,93.00,29.80
18-Apr-19 6:15:00 PM CEST,63.00,3100.00,0.09,93.00,29.30
18-Apr-19 6:30:00 PM CEST,64.00,3400.00,0.11,92.00,28.30
18-Apr-19 6:45:00 PM CEST,64.00,3400.00,0.11,93.00,28.30
18-Apr-19 7:00:00 PM CEST,63.00,77100.00,2.11,95.00,32.00
18-Apr-19 7:15:00 PM CEST,63.00,4100.00,0.11,97.00,33.30
18-Apr-19 7:30:00 PM CEST,63.00,86100.00,2.22,97.00,33.90
18-Apr-19 7:45:00 PM CEST,63.00,4400.00,0.11,98.00,34.90
18-Apr-19 8:00:00 PM CEST,63.00,10600.00,0.26,99.00,35.50
18-Apr-19 8:15:00 PM CEST,63.00,68800.00,1.77,97.00,34.10
18-Apr-19 8:30:00 PM CEST,59.00,126600.00,3.18,94.00,34.80
18-Apr-19 8:45:00 PM CEST,65.00,70200.00,2.25,92.00,27.20
18-Apr-19 9:00:00 PM CEST,64.00,63900.00,2.06,91.00,27.20
18-Apr-19 9:15:00 PM CEST,64.00,68400.00,2.28,90.00,26.20
18-Apr-19 9:30:00 PM CEST,64.00,54300.00,1.85,89.00,25.70
18-Apr-19 9:45:00 PM CEST,64.00,3200.00,0.11,89.00,25.30
18-Apr-19 10:00:00 PM CEST,64.00,3500.00,0.12,91.00,26.50
18-Apr-19 10:15:00 PM CEST,64.00,3400.00,0.11,92.00,27.70
18-Apr-19 10:30:00 PM CEST,64.00,41500.00,1.28,92.00,28.40
18-Apr-19 10:45:00 PM CEST,62.00,84800.00,2.43,93.00,30.50
18-Apr-19 11:00:00 PM CEST,64.00,3300.00,0.10,92.00,28.80
18-Apr-19 11:15:00 PM CEST,64.00,3300.00,0.10,92.00,28.80
18-Apr-19 11:30:00 PM CEST,64.00,3000.00,0.09,92.00,28.50
18-Apr-19 11:45:00 PM CEST,61.00,95100.00,2.72,92.00,30.60
19-Apr-19 12:00:00 AM CEST,58.00,4300.00,0.11,92.00,33.20
19-Apr-19 12:15:00 AM CEST,60.00,159100.00,4.39,91.00,31.70
19-Apr-19 12:30:00 AM CEST,60.00,221600.00,5.88,92.00,32.90
19-Apr-19 12:45:00 AM CEST,55.00,175700.00,4.03,93.00,38.00
19-Apr-19 1:00:00 AM CEST,58.00,55800.00,1.39,93.00,35.00
19-Apr-19 1:15:00 AM CEST,58.00,4400.00,0.11,93.00,34.90
19-Apr-19 1:30:00 AM CEST,60.00,125500.00,3.43,92.00,32.00
19-Apr-19 1:45:00 AM CEST,61.00,124700.00,3.68,90.00,29.60
19-Apr-19 2:00:00 AM CEST,62.00,164300.00,5.21,89.00,27.60
19-Apr-19 2:15:00 AM CEST,62.00,206700.00,6.84,89.00,26.40
19-Apr-19 2:30:00 AM CEST,63.00,225200.00,7.67,88.00,25.70
19-Apr-19 2:45:00 AM CEST,69.00,71000.00,3.26,88.00,19.10
19-Apr-19 3:00:00 AM CEST,69.00,90600.00,4.20,88.00,18.90
19-Apr-19 3:15:00 AM CEST,66.00,67700.00,2.92,87.00,20.30
19-Apr-19 3:30:00 AM CEST,62.00,52500.00,1.90,87.00,24.20
19-Apr-19 3:45:00 AM CEST,60.00,8300.00,0.27,86.00,26.80
19-Apr-19 4:00:00 AM CEST,59.00,3300.00,0.11,86.00,27.30
19-Apr-19 4:15:00 AM CEST,59.00,3700.00,0.12,86.00,27.60
19-Apr-19 4:30:00 AM CEST,59.00,4200.00,0.14,87.00,27.40
19-Apr-19 4:45:00 AM CEST,59.00,4200.00,0.14,87.00,27.40
19-Apr-19 5:00:00 AM CEST,59.00,142600.00,4.70,86.00,26.50
19-Apr-19 5:15:00 AM CEST,57.00,247900.00,7.66,85.00,28.30
19-Apr-19 5:30:00 AM CEST,54.00,154900.00,4.29,85.00,31.50
19-Apr-19 5:45:00 AM CEST,48.00,375300.00,8.48,87.00,38.50
19-Apr-19 6:00:00 AM CEST,46.00,406300.00,8.48,88.00,41.60
19-Apr-19 6:15:00 AM CEST,49.00,291700.00,6.33,89.00,40.10
19-Apr-19 6:30:00 AM CEST,50.00,211400.00,4.76,89.00,38.60
19-Apr-19 6:45:00 AM CEST,51.00,204800.00,4.69,89.00,38.00
19-Apr-19 7:00:00 AM CEST,52.00,200300.00,4.58,90.00,38.10
19-Apr-19 7:15:00 AM CEST,51.00,198700.00,4.57,89.00,37.90
19-Apr-19 7:30:00 AM CEST,52.00,193500.00,4.44,90.00,38.00
19-Apr-19 7:45:00 AM CEST,53.00,232800.00,5.52,89.00,36.80
19-Apr-19 8:00:00 AM CEST,52.00,174200.00,4.36,87.00,34.80
19-Apr-19 8:15:00 AM CEST,51.00,182400.00,4.35,88.00,36.50
19-Apr-19 8:30:00 AM CEST,51.00,184100.00,4.40,88.00,36.50
19-Apr-19 8:45:00 AM CEST,51.00,179500.00,4.39,87.00,35.60
19-Apr-19 9:00:00 AM CEST,51.00,198400.00,5.06,85.00,34.20
19-Apr-19 9:15:00 AM CEST,52.00,173500.00,4.57,85.00,33.10
19-Apr-19 9:30:00 AM CEST,52.00,169200.00,4.46,85.00,33.00
19-Apr-19 9:45:00 AM CEST,52.00,165000.00,4.34,85.00,33.10
19-Apr-19 10:00:00 AM CEST,52.00,151100.00,4.07,85.00,32.30
19-Apr-19 10:15:00 AM CEST,55.00,121800.00,3.67,84.00,29.00
19-Apr-19 10:30:00 AM CEST,54.00,131900.00,3.87,83.00,29.70
19-Apr-19 10:45:00 AM CEST,54.00,107100.00,3.18,84.00,29.30
19-Apr-19 11:00:00 AM CEST,54.00,127300.00,3.77,84.00,29.40
19-Apr-19 11:15:00 AM CEST,55.00,72100.00,2.22,83.00,28.20
19-Apr-19 11:30:00 AM CEST,56.00,70100.00,2.24,83.00,27.40
19-Apr-19 11:45:00 AM CEST,64.00,40800.00,1.82,83.00,19.60
19-Apr-19 12:00:00 PM CEST,61.00,2400.00,0.09,83.00,22.50
19-Apr-19 12:15:00 PM CEST,62.00,76000.00,3.18,83.00,20.90
19-Apr-19 12:30:00 PM CEST,63.00,67800.00,2.92,83.00,20.30
19-Apr-19 12:45:00 PM CEST,58.00,103600.00,3.65,83.00,24.80
19-Apr-19 1:00:00 PM CEST,64.00,1900.00,0.09,83.00,18.40
19-Apr-19 1:15:00 PM CEST,63.00,62200.00,2.71,83.00,20.10
19-Apr-19 1:30:00 PM CEST,64.00,1800.00,0.08,83.00,19.00
19-Apr-19 1:45:00 PM CEST,64.00,41800.00,1.94,83.00,18.80
19-Apr-19 2:00:00 PM CEST,65.00,1800.00,0.09,83.00,18.10
19-Apr-19 2:15:00 PM CEST,64.00,19000.00,0.89,83.00,18.80
19-Apr-19 2:30:00 PM CEST,63.00,45100.00,1.96,83.00,20.10
19-Apr-19 2:45:00 PM CEST,61.00,75300.00,2.98,83.00,22.10
19-Apr-19 3:00:00 PM CEST,64.00,2100.00,0.09,84.00,19.30
19-Apr-19 3:15:00 PM CEST,64.00,41000.00,1.77,84.00,20.30
19-Apr-19 3:30:00 PM CEST,64.00,61300.00,2.58,85.00,20.80
19-Apr-19 3:45:00 PM CEST,65.00,1900.00,0.08,85.00,20.40
19-Apr-19 4:00:00 PM CEST,64.00,60000.00,2.45,86.00,21.40
19-Apr-19 4:15:00 PM CEST,64.00,2600.00,0.11,86.00,21.90
19-Apr-19 4:30:00 PM CEST,63.00,64800.00,2.39,87.00,23.70
19-Apr-19 4:45:00 PM CEST,64.00,2500.00,0.10,87.00,22.70
19-Apr-19 5:00:00 PM CEST,64.00,65700.00,2.50,88.00,23.00
19-Apr-19 5:15:00 PM CEST,64.00,2700.00,0.10,88.00,24.00
19-Apr-19 5:30:00 PM CEST,64.00,2700.00,0.10,89.00,24.50
19-Apr-19 5:45:00 PM CEST,64.00,57100.00,1.99,89.00,25.10
19-Apr-19 6:00:00 PM CEST,64.00,2500.00,0.08,90.00,25.80
19-Apr-19 6:15:00 PM CEST,64.00,2300.00,0.08,90.00,26.50
19-Apr-19 6:30:00 PM CEST,56.00,83800.00,2.10,91.00,34.90
19-Apr-19 6:45:00 PM CEST,65.00,78700.00,2.63,92.00,26.20
19-Apr-19 7:00:00 PM CEST,64.00,2600.00,0.08,93.00,28.70
19-Apr-19 7:15:00 PM CEST,64.00,2900.00,0.09,93.00,29.50
19-Apr-19 7:30:00 PM CEST,63.00,3300.00,0.10,93.00,29.90
19-Apr-19 7:45:00 PM CEST,63.00,72800.00,2.24,92.00,28.50
19-Apr-19 8:00:00 PM CEST,64.00,60100.00,2.12,89.00,24.90
19-Apr-19 8:15:00 PM CEST,64.00,2400.00,0.09,86.00,22.00
19-Apr-19 8:30:00 PM CEST,58.00,70000.00,2.33,84.00,26.30
19-Apr-19 8:45:00 PM CEST,63.00,6200.00,0.26,83.00,20.60
19-Apr-19 9:00:00 PM CEST,65.00,1900.00,0.09,84.00,18.60
19-Apr-19 9:15:00 PM CEST,65.00,2300.00,0.11,84.00,19.00
19-Apr-19 9:30:00 PM CEST,65.00,2000.00,0.09,85.00,19.70
19-Apr-19 9:45:00 PM CEST,65.00,2100.00,0.09,86.00,20.60
19-Apr-19 10:00:00 PM CEST,65.00,2300.00,0.09,87.00,21.70
19-Apr-19 10:15:00 PM CEST,64.00,2400.00,0.09,87.00,23.50
19-Apr-19 10:30:00 PM CEST,64.00,52800.00,1.95,88.00,23.70
19-Apr-19 10:45:00 PM CEST,56.00,89500.00,2.44,88.00,32.00
19-Apr-19 11:00:00 PM CEST,61.00,97900.00,3.10,88.00,27.60
